title,douban_link
铁臂阿童木 鉄腕アトム,https://movie.douban.com/subject/1845639/
一人之下 第三季,https://movie.douban.com/subject/34456079/
镇魂街 第四季,https://movie.douban.com/subject/36638253/
龙珠超：超级人造人 ドラゴンボール超 スーパーヒーロー,https://movie.douban.com/subject/35461313/
Re：从零开始的异世界生活 新编集版 Re:ゼロから始める異世界生活 新編集版,https://movie.douban.com/subject/34937942/
秦时明月之龙腾万里,https://movie.douban.com/subject/6721670/
夏目友人帐 第三季 夏目友人帳 参,https://movie.douban.com/subject/5967223/
成何体统 第1季,https://movie.douban.com/subject/35517455/
风云决,https://movie.douban.com/subject/3047989/
名侦探柯南 灼热的银河铁道 名探偵コナン 灼熱の銀河鉄道,https://movie.douban.com/subject/35918598/
辉夜大小姐想让我告白：天才们的恋爱头脑战 第二季 かぐや様は告らせたい？～天才たちの恋愛頭脳戦～,https://movie.douban.com/subject/33379634/
全职高手 第一季,https://movie.douban.com/subject/26859991/
失忆投捕 忘却バッテリー,https://movie.douban.com/subject/36464858/
擅长逃跑的殿下 逃げ上手の若君,https://movie.douban.com/subject/36315208/
好想告诉你 第一季 君に届け,https://movie.douban.com/subject/3838279/
魔王2099,https://movie.douban.com/subject/36331366/
吹响悠风号3 響け！ユーフォニアム3,https://movie.douban.com/subject/33718059/
棒球英豪 タッチ,https://movie.douban.com/subject/1756889/
在下坂本，有何贵干？ 坂本ですが？,https://movie.douban.com/subject/26708698/
男子游泳部 第一季 Free!,https://movie.douban.com/subject/24381366/
天元突破红莲螺岩 天元突破グレンラガン,https://movie.douban.com/subject/3584929/
镇魂街 第一季,https://movie.douban.com/subject/26392671/
吹响悠风号 響け！ユーフォニアム,https://movie.douban.com/subject/26169716/
冲出地球,https://movie.douban.com/subject/27599400/
莉可丽丝 リコリス・リコイル,https://movie.douban.com/subject/35722670/
犬夜叉：完结篇 犬夜叉 完結編,https://movie.douban.com/subject/3993290/
动物狂想曲 第二季 BEASTARS 2nd Season,https://movie.douban.com/subject/34937800/
银魂 第三季 銀魂°,https://movie.douban.com/subject/26287119/
想哭的我戴上了猫的面具 泣きたい私は猫をかぶる,https://movie.douban.com/subject/34964061/
宝石之国 宝石の国,https://movie.douban.com/subject/27047873/
无职转生Ⅱ 到了异世界就拿出真本事 Part 2 無職転生Ⅱ ～異世界行ったら本気だす～ 第2クール,https://movie.douban.com/subject/36576576/
异世界归来的舅舅 異世界おじさん,https://movie.douban.com/subject/35417872/
蜡笔小新：梦境世界大突击 クレヨンしんちゃん 爆睡!ユメミーワールド大突撃,https://movie.douban.com/subject/26660834/
海贼王剧场版Z ONE PIECE FILM Z,https://movie.douban.com/subject/10467125/
男子高中生的日常 男子高校生の日常,https://movie.douban.com/subject/6894811/
喜羊羊与灰太狼,https://movie.douban.com/subject/3696540/
