title,douban_link
半田君传说 はんだくん,https://movie.douban.com/subject/26720633/
舒克贝塔,https://movie.douban.com/subject/26597161/
从前有座灵剑山2 霊剣山 叡智への資格,https://movie.douban.com/subject/26894560/
元龙 第三季,https://movie.douban.com/subject/35679815/
狐妖小红娘 无暮篇,https://movie.douban.com/subject/36055455/
默读者,https://movie.douban.com/subject/34460234/
无限的未知 無限のリヴァイアス,https://movie.douban.com/subject/1947777/
稻荷恋之歌 いなり、こんこん、恋いろは。,https://movie.douban.com/subject/20427094/
头文字D新剧场版：觉醒 新劇場版 頭文字D Legend1 -覚醒-,https://movie.douban.com/subject/24869343/
神探威威猫,https://movie.douban.com/subject/25911616/
雄兵连之雄芯篇,https://movie.douban.com/subject/27187158/
星辰变 第三季,https://movie.douban.com/subject/35169998/
天上天下 てんじょうてんげ,https://movie.douban.com/subject/1940351/
新网球王子 U-17世界杯 新テニスの王子様 U-17 WORLD CUP,https://movie.douban.com/subject/35633240/
暗杀教室 暗殺教室,https://movie.douban.com/subject/25912261/
破晓之翼 薄明の翼,https://movie.douban.com/subject/34929840/
不正经的魔术讲师与禁忌教典 ロクでなし魔術講師と禁忌教典,https://movie.douban.com/subject/26774749/
侦探已死 探偵はもう、死んでいる。,https://movie.douban.com/subject/35495693/
赛马娘 第三季 ウマ娘 プリティーダービー Season 3,https://movie.douban.com/subject/36156834/
国王游戏 王様ゲーム The Animation,https://movie.douban.com/subject/27102498/
魔卡少女樱特典：包在小可身上 劇場版 ケロちゃんにおまかせ！,https://movie.douban.com/subject/4891767/
伊克西翁传说DT イクシオン サーガ DT,https://movie.douban.com/subject/10810287/
幻想嘉年华 カーニバル・ファンタズム,https://movie.douban.com/subject/5379965/
七武士 Samurai 7,https://movie.douban.com/subject/1460911/
龙先生，想要买个家。 ドラゴン、家を買う。,https://movie.douban.com/subject/34854994/
X战记 剧场版 X -エックス-,https://movie.douban.com/subject/1401538/
旗扬！兽道 旗揚！けものみち,https://movie.douban.com/subject/34444396/
吞噬星空 第3季,https://movie.douban.com/subject/36205705/
数码宝贝大冒险tri. 第5章：共生 デジモンアドベンチャー tri. 第5章 共生,https://movie.douban.com/subject/26746803/
调教咖啡厅 ブレンド・S,https://movie.douban.com/subject/26944371/
拳馆英雄 第一季 Lastman Season 1,https://movie.douban.com/subject/27120334/
灵笼2,https://movie.douban.com/subject/36467256/
装甲骑兵 装甲騎兵ボトムズ,https://movie.douban.com/subject/3221036/
进击的巨人OAD3：困难 進撃の巨人 困難,https://movie.douban.com/subject/25919982/
剑网3·侠肝义胆沈剑心 第三季,https://movie.douban.com/subject/35198625/
不相信人类的冒险者们好像要去拯救世界 人間不信の冒険者たちが世界を救うようです,https://movie.douban.com/subject/35567957/
蜂妹与狗狗猫 第一季 Bee and PuppyCat Season 1,https://movie.douban.com/subject/25710779/
奇想的精神：芝娜的忧郁 Spirit of Wonder チャイナさんの憂鬱,https://movie.douban.com/subject/2129924/
攻壳机动队：崛起1 攻殻機動隊ARISE border:1 Ghost Pain,https://movie.douban.com/subject/20524759/
精灵宝可梦：光轮的超魔神 胡帕 ポケモン・ザ・ムービーXY 光輪の超魔神 フーパ,https://movie.douban.com/subject/26282453/
死亡台球 デス・ビリヤード,https://movie.douban.com/subject/20266598/
天使降临到我身边：珍贵的朋友 私に天使が舞い降りた！プレシャス・フレンズ,https://movie.douban.com/subject/35265438/
头文字D新剧场版：梦现 新劇場版 頭文字D Legend3 -夢現-,https://movie.douban.com/subject/26425388/
妙先生之火泽睽笑人传,https://movie.douban.com/subject/25955745/
大提琴手 セロ弾きのゴーシュ,https://movie.douban.com/subject/1302145/
吹响悠风号特典：吹奏乐部的日常 響け！ユーフォニアム 映像特典 吹奏楽部の日常,https://movie.douban.com/subject/26575110/
冰川时代：斯克特历险记 Ice Age: Scrat Tales,https://movie.douban.com/subject/35780755/
推理之绊 スパイラル～推理の絆～,https://movie.douban.com/subject/1940469/
