id,title,douban_link,rating,year,image,video_url,summary,country,language,episode_duration,episode_count,director,scriptwriter,cast,official_website,also_known_as,genre
50,全职猎人 Hunter x Hunter,https://movie.douban.com/subject/1460919/,9.5,1999,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158657076.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep15660%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video'],小杰的父亲是名顶级猎人，却在他很小时就离开了他。多年后，天资聪慧生性善良的他也决定成为一名猎人，并借此去寻找素未谋面的父亲。在考取猎人证的过程中，小杰结识了杀手家族出身的奇犽，火眼睛族的唯一幸存者库拉皮卡和想要成为救济穷人的医生的雷欧力。并且和西索，一个视强者为猎物的神秘魔术师形成亦敌亦友的关系。经过重重考验，小杰顺利拿到猎人证，可是对小杰来说，考验才刚刚开始。,日本,日语,23分钟,62.0,"['古桥一浩', '加藤敏幸', '细田雅弘', '元永庆太郎', '宫下新平', '铃木芳成', '吉田俊司', '福岛宏之', '津田义三', '嵯峨敏', '铃木孝义']","['富坚义博', '岸间信明', '十川诚志', '菅良幸', '山口亮太']","['竹内顺子', '甲斐田幸', '三桥加奈子', '乡田穗积', '高桥广树']",,猎人,"['喜剧', '动画', '冒险']"
51,漂流少年 Sonny Boy,https://movie.douban.com/subject/35427522/,9.1,2021,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2659821253.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmzc00200jf1bctm%2Fa0039gfrv73.html%3Fptag%3Dnewdouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep409553%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",漫长的暑假已然过半的8月16日。聚集在学校里的中学三年级学生·长良一行人突然被卷进从未设想过的事态之中。长良本人自不必说，神秘的转校生·希和瑞穗以及朝风等36名同班同学，都随着学校一起在异次元之中漂流。而且他们在漂流的同时也获得了各种各样的“能力”。有因为获得了超越常人的能力而心 生欢喜，用能力肆意作乱的人，也有作为领导统帅着学生们，拼死寻找回到原本世界方法的人。相互质疑、无法克制的嫉妒心，还有支配欲引发了对立。接二连三发生的难以解决的事件面前，少年少女们突然被扔进了求生生活之中。长良他们究竟能否攻略这个世界，平安回到原本的世界呢……？,日本,日语,24分钟,12.0,"['夏目真悟', '斋藤圭一郎']",['夏目真悟'],"['市川苍', '大西沙织', '悠木碧', '小林千晃', '后藤弘树', '内藤有海', '佐藤花', '上田耀司', '山本祥太', '荻野佳奈']",,サニーボーイ,"['科幻', '动画']"
52,月刊少女野崎君 月刊少女野崎くん,https://movie.douban.com/subject/25850705/,9.3,2014,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2191065569.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep770%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video'],故事从高中女生佐仓千代（小泽亚李 配音）的一场告白开始，她的暗恋对象是与自己同年级的男生——身高一米九、男子气概十足的野崎君（中村悠一 配音），而告白的结果居然是得到了他的亲笔签名。正当千代为自己的告白台词“我是你的粉丝”引起了误会而感到苦恼时，野崎君居然直接邀请千代回家。她又紧张又期待，谁知道等待着她的是一堆漫画原稿，她糊里糊涂地当起了漫画助手。千代这才知道，自己的心上人野崎君原来是知名少女漫画家。虽然作品以描绘细腻的少女心思著称，野崎君本人却意外地神经大条，而且完全没有恋爱经历，他的漫画角色原型来自身边的朋友，而这些“原型们”，尽是些极具反差萌的家伙……本动画改编自日本漫画家椿泉所创作的四格漫画作品。,日本,日语,23分钟,12.0,"['山崎光惠', '竹下良平', '渡部稳宽', '守田艺成', '野木森达哉']","['中村能子', '椿泉水']","['中村悠一', '小泽亚李', '冈本信彦', '小野友树', '中原麻衣', '木村良平', '泽城美雪', '三宅健太', '小野大辅', '川澄绫子', '三宅麻理惠', '宫野真守']",,月刊少女野崎同学(台) / 月刊少女野崎(港) / Gekkan Shojo Nozaki-kun,"['喜剧', '动画']"
53,Re：从零开始的异世界生活 新编集版 Re:ゼロから始める異世界生活 新編集版,https://movie.douban.com/subject/34937942/,8.9,2020,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2873497694.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Flm2gbly4pcycdnh%2Ft0033vashj5.html%3Fptag%3Dnewdouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep307056%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",在从便利商店回家的路上，突然被异世界召唤的少年菜月昴。在无法依靠任何东西的异世界，无力的少年手唯一的力量……那是“死去然后重新开始”的力量。为了守护最重要的人们，为了取回确实存在着又无可替代的时间，少年抗拒着绝望，勇敢地面对着残酷的命运。（本次新编集版在第一季动画基础上追加新场景，以2话合并成1话的形式制作成单集时长1小时的特别篇）,日本,日语,49,13.0,['渡边政治'],['横谷昌宏'],"['小林裕介', '高桥李依', '内山夕实', '水濑祈', '村川梨衣', '赤崎千夏', '新井里美', '子安武人', '中村悠一', '能登麻美子', '堀内贤雄', '堀江由衣', '江口拓也', '松冈祯丞', '井口裕香', '田村由香里', '植田佳奈', '藤原启治', '麦人']",,,"['动画', '奇幻']"
54,赌博默示录 逆境無頼カイジ Ultimate Survivor,https://movie.douban.com/subject/3035147/,9.1,2007,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2225808699.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Flm2gbly4pcycdnh%2Ft0033vashj5.html%3Fptag%3Dnewdouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep307056%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",故事从一艘黑夜中的赌船开始……男主角，伊藤开司，浑浑噩噩，一事无成，因为好心替人做了担保而背负上了数百万债务。为偿还欠款，开司接受怂恿上了一艘名为“希望之船”的渡轮，为的是参加一次神秘赌局，一旦获胜，就能将欠款一笔勾销。上到贼船后开司才发现，参与者多是如自己一般的失败青年。然后主办方便开出了赌局的规则：参与者须以标着“石头，剪刀，布”的扑克为道具，夺取对手身上的星星标志，赌局结束时，扑克牌未用完或星星少于三颗者将失去资格，而参赛初所能向主办方借贷的巨款，也成为让他们盈利或逃生的重要因素……,日本,日语,22分钟,26.0,"['佐藤雄三', '川村贤一', '田中洋之', '中村亮介', '大雄男', '岛崎奈奈子', '末田宜史', '池田重隆', '岩城忠雄', '细田雅弘']","['福本伸行', '高屋敷英夫', '笔安一幸', '广田光毅']","['萩原圣人', '白龙', '家中宏', '立木文彦', '津嘉山正种']",,逆境无赖KAIJI / 逆境无赖开司,"['动作', '动画']"
55,中国奇谭,https://movie.douban.com/subject/35674355/,8.7,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2885130077.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep706666%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video'],短片集由八个植根于中国传统文化的独立的故事组成：《小妖怪的夏天》《鹅鹅鹅》《林林》《乡村巴士带走了王孩儿和神仙》《小满》《玉兔》《小卖部》《飞鸟与鱼》，在观众面前铺陈开一个极具中式想象力和审美魅力的“妖怪”故事集。其中故事纵览古今、展望未来，从古代故事到科幻想象、 从乡土眷恋到唯美爱情、从生命母题到人性思考，展现着中式想象力、承载着中国民族文化与哲学。影片涵盖多种美术风格以及制作手法：既有传统的二维、剪纸、偶定格动画，又有CG、三渲二的现代技术，还有将素描与中国水墨韵味相结合的创新尝试，是创作者们对中国美学一次多视角的诠释。,中国大陆,汉语普通话,20分钟,8.0,"['陈廖宇', '於水', '胡睿', '杨木', '刘毛宁', '陈莲华', '周小琳', '潘斌', '顾杨', '刘旷', '徐宁']","['於水', '胡睿', '杨木', '汪洋', '刘毛宁', '陈莲华', '周小琳', '魏诗芮', '顾杨', '刘旷', '潘斌']",,,Yao-Chinese Folktales,"['动画', '短片', '奇幻']"
56,拾荒者统治 Scavengers Reign,https://movie.douban.com/subject/35932858/,9.2,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2898656708.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep835071%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video'],本剧是对2016年动画短片《拾荒者》概念的拓展。在一艘星际货运飞船受损后，船员发现他们被困在了一个美丽但让人难以应付的陌生星球上。在这里，他们必须存活得足够久，才有机会逃离或获救。当幸存者们努力寻找被击落的船只和失踪的船员时，他们的新家展现出一个充满敌意的世界，这个世界可以在没有人类干扰的情况下蓬勃发展。,美国,英语,24分钟,12.0,"['约瑟夫·本奈特', '查尔斯·胡特纳', '文森特·徐', '雷切尔·里德', '克里斯汀·洁恩·申', '迭戈·波拉尔', '乔纳森·德乔布·恩孔多']","['约瑟夫·本奈特', '查尔斯·胡特纳', '肖恩·巴克卢', '詹姆斯·梅里尔', '珍妮·黛克·蕾丝蒂沃', '吉莉安·戈德弗拉斯']","['苏妮特·玛尼', '乌米·马萨库', '阿莉雅·肖卡特', '鲍勃·斯蒂芬森', '泰德·特拉维尔斯特德', '宝拉雅娜·麦金托什', '达什·威廉姆斯', '斯凯勒·吉桑多', '塞皮德·莫阿菲', '弗莱迪·罗德里格兹', '克里斯·迪亚曼托普洛斯', '奥基里特·奥诺多瓦']",,拾荒者的统治,"['剧情', '科幻', '动画', '冒险']"
57,"爱，死亡和机器人 第四季 Love, Death & Robots Season 4",https://movie.douban.com/subject/36056894/,0.0,2024,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2897821548.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep835071%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video'],Netflix续订《爱，死亡和机器人》第四季。,美国,英语,,12.0,,,,,爱死机4 / 爱 x 死 x 机器人(台) / 爱 · 死 · 机械人(港) / 爱、死亡 + 机器人 / 爱、死亡 & 机器人 / 爱情，死亡与机器人,"['剧情', '喜剧', '动作', '动画', '恐怖', '短片', '奇幻', '冒险']"
58,魔法少女小圆 魔法少女まどか☆マギカ,https://movie.douban.com/subject/5349275/,9.0,2011,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2088343031.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep63470%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video'],平凡的中学生鹿目圆（悠木碧 配音）有一个美满的家庭，在生活中她是个性格温顺又有爱心的好孩子。转学生晓美焰（斋藤千和 配音）的出现打破了小圆平静的生活，这个性格酷酷又体弱多病的黑长直少女似乎对小圆有着什么难言之隐。命运中的相遇出现了，小圆在路边救下了一只浑身是伤的奇怪动物 ，没想到这只动物居然会说人类的语言。它告诉小圆它的名字叫丘比（加藤英美里 配音），并且提出了一个特殊的要求，它希望小圆能够和它签订契约成为魔法少女。魔法少女是这个世界中一种特殊的存在，她们肩负着和魔女战斗的使命，作为报酬，丘比可以实现她们任意的一个愿望。在战斗的过程中，小圆发现魔法少女这个职业并非故事里所描绘的那么美好，随时有着牺牲的可能。并且，随着战斗的升级，一个关乎于她自己的残酷真相正在逐步的浮出水面。,日本,日语,24分钟,12.0,"['新房昭之', '宫本幸裕', '畠山守', '八濑祐树', '板村智幸', '向井雅浩', '城所圣明', '浅利藤彰', '间岛崇宽', '渡边琴乃', '川畑乔']",['虚渊玄'],"['悠木碧', '斋藤千和', '喜多村英梨', '野中蓝', '水桥香织', '加藤英美里', '吉田圣子', '新谷良子', '后藤邑子', '岩永哲哉', '岩男润子', '松冈祯丞', '佐仓绫音', '大久保瑠美', '松嵜丽', '田坂秀树', '飞田展男', '三木真一郎', '荻野晴朗', '松本大', '梅津秀行']",,Madoka☆Magica / 魔法少女魔户香 / Puella Magi Madoka Magica,"['动画', '悬疑', '惊悚']"
59,姜子牙,https://movie.douban.com/subject/25907124/,6.6,2020,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2621219978.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmzc00200892n01l.html%3Fptag%3Dnewdouban.movie&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fwww.mgtv.com%2Fb%2F335234%2F10329261.html%3Fcxid%3Dvb4rv4jhk&amp;subtype=7&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fss35370%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",商朝末年，邪魅炽盛。九尾妖狐化身绝世美女魅惑商王，帝辛沉湎美色，狂暴倍增，饮酒作乐，屠杀黎民。一时间天怒人怨，静虚宫掌教世尊上承天命，拍出弟子姜子牙等众神仙助力周部落起义，最终推翻商周残暴统治。在此之后，众神归位，而九尾也被抓到静虚宫斩妖台，等候最后的发落。作为行刑者的姜子牙，在关键时刻遭到九尾魅惑，看到了令他内心大为波动的景象。虽然九尾被诛，但他也被世尊发配北海古战场反省修行。一晃数年，姜子牙仍在苦寒之地苦苦冥思。而就在某天，一名狐族女孩出现在北海，而她经与姜子牙当年在幻象中见到的女孩一模一样。为了追索真相，姜子牙不顾一切闯出北海禁地……,中国大陆,汉语普通话,,,"['程腾', '李炜']",['谢茜颖'],"['郑希', '杨凝', '图特哈蒙', '阎么么', '季冠霖', '姜广涛', '陈思宇']",,Legend of Deification,"['剧情', '动画', '奇幻']"
